,index_left,popdynami,Scenario,Year,GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,Latitude,Longitude,geometry,h_distance
0,20.0,4.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.448086984687563,91.81638324750776,POINT (91.81638324750776 22.448086984687567),0.0
1,33.0,3.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.429663372245084,91.81638324750776,POINT (91.81638324750776 22.429663372245084),2218.9066603211686
2,48.0,4.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.4112397598026,91.81638324750776,POINT (91.81638324750776 22.4112397598026),4437.518826346844
3,70.0,22.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.392816147360122,91.81638324750776,POINT (91.81638324750776 22.392816147360122),6655.836805572268
4,112.0,22.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.374392534917643,91.81638324750776,POINT (91.81638324750776 22.374392534917643),8873.860905310139
5,141.0,23.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.355968922475164,91.81638324750776,POINT (91.81638324750776 22.35596892247516),11091.59143268969
6,164.0,33.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.33754531003268,91.81638324750776,POINT (91.81638324750776 22.337545310032677),13309.02869465854
7,181.0,10.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.3191216975902,91.81638324750776,POINT (91.81638324750776 22.319121697590194),15526.172997980844
8,,,,,,,,,,,,,,,,,,,,,22.300698085147722,91.81638324750776,POINT (91.81638324750776 22.30069808514772),17743.02464923775
9,,,,,,,,,,,,,,,,,,,,,22.282274472705243,91.81638324750776,POINT (91.81638324750776 22.28227447270524),19959.583954831585
10,210.0,4.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.26385086026276,91.81638324750776,POINT (91.81638324750776 22.26385086026276),22175.851220980287
11,222.0,4.0,SSP5,2100,BGD.2.4.2_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,BGD.2.4_1,Chittagong,NA,Bakalia,NA,NA,Upazilla,Upazilla,201510,NA,22.24542724782028,91.81638324750776,POINT (91.81638324750776 22.24542724782028),24391.826753721572
